Tahun,Bulan,Hari,Tanggal,Pajak
1996,1,1,1996-01-01,2954416.8
1996,1,2,1996-01-02,4445998.5
1996,1,3,1996-01-03,5947318.0
1996,1,4,1996-01-04,7459508.5
1996,1,5,1996-01-05,8983771.0
1996,1,6,1996-01-06,10521341.0
1996,1,7,1996-01-07,12073455.0
1996,1,8,1996-01-08,13641373.0
1996,1,9,1996-01-09,15226412.0
1996,1,10,1996-01-10,16829958.0
1996,1,11,1996-01-11,18453374.0
1996,1,12,1996-01-12,20098148.0
1996,1,13,1996-01-13,21765758.0
1996,1,14,1996-01-14,23457792.0
1996,1,15,1996-01-15,25175856.0
1996,1,16,1996-01-16,26921660.0
1996,1,17,1996-01-17,28696984.0
1996,1,18,1996-01-18,30503674.0
1996,1,19,1996-01-19,32343672.0
1996,1,20,1996-01-20,34219012.0
1996,1,21,1996-01-21,36131852.0
1996,1,22,1996-01-22,38084428.0
1996,1,23,1996-01-23,40079108.0
1996,1,24,1996-01-24,42118396.0
1996,1,25,1996-01-25,44204932.0
1996,1,26,1996-01-26,46341492.0
1996,1,27,1996-01-27,48531024.0
1996,1,28,1996-01-28,50776656.0
1996,1,29,1996-01-29,53081670.0
1996,1,30,1996-01-30,55449584.0
1996,1,31,1996-01-31,57884116.0
1996,2,1,1996-02-01,5296450.0
1996,2,2,1996-02-02,7570891.5
1996,2,3,1996-02-03,9860723.0
1996,2,4,1996-02-04,12167749.0
1996,2,5,1996-02-05,14493784.0
1996,2,6,1996-02-06,16840734.0
1996,2,7,1996-02-07,19210486.0
1996,2,8,1996-02-08,21604996.0
1996,2,9,1996-02-09,24026280.0
1996,2,10,1996-02-10,26476430.0
1996,2,11,1996-02-11,28957622.0
1996,2,12,1996-02-12,31472096.0
1996,2,13,1996-02-13,34022170.0
1996,2,14,1996-02-14,36610228.0
1996,2,15,1996-02-15,39238820.0
1996,2,16,1996-02-16,41910560.0
1996,2,17,1996-02-17,44628190.0
1996,2,18,1996-02-18,47394572.0
1996,2,19,1996-02-19,50212716.0
1996,2,20,1996-02-20,53085780.0
1996,2,21,1996-02-21,56017064.0
1996,2,22,1996-02-22,59010070.0
1996,2,23,1996-02-23,62068452.0
1996,2,24,1996-02-24,65196110.0
1996,2,25,1996-02-25,68397110.0
1996,2,26,1996-02-26,71675780.0
